Country,alpha3,1995,2000,2005,2010,2015,2019
Austria,AUT,0,1,1,1,1,1
Belgium,BEL,1,1,1,1,1,1
Czechia,CZE,0,0,0,1,1,1
Denmark,DNK,0,0,1,1,1,1
Estonia,EST,0,0,0,1,1,1
Finland,FIN,0,0,1,1,1,1
France,FRA,1,1,1,1,1,1
Germany,DEU,1,1,1,1,1,1
Greece,GRC,0,1,1,1,1,1
Hungary,HUN,0,0,0,1,1,1
Iceland,ISL,0,0,1,1,1,1
Italy,ITA,0,1,1,1,1,1
Latvia,LVA,0,0,0,1,1,1
Liechtenstein,LIE,0,0,0,0,1,1
Lithuania,LTU,0,0,0,1,1,1
Luxembourg,LUX,1,1,1,1,1,1
Malta,MLT,0,0,0,1,1,1
Netherlands,NLD,1,1,1,1,1,1
Norway,NOR,0,0,1,1,1,1
Poland,POL,0,0,0,1,1,1
Portugal,PRT,1,1,1,1,1,1
Slovakia,SVK,0,0,0,1,1,1
Slovenia,SVN,0,0,0,1,1,1
Spain,ESP,1,1,1,1,1,1
Sweden,SWE,0,0,1,1,1,1
Switzerland,CHE,0,0,0,1,1,1
,,,,,,,
Source: https://www.schengenvisainfo.com/schengen-agreement/,,,,,,,
