alpha3,name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
NA,Less developed regions,902,2015,108217979,6123174889.000006,1.7673507773623858,21049686,NA,108217979,NA
NA,Less developed regions,902,2019,119572844,6442837823.000007,1.8559033656433521,23897946,NA,119572844,NA
NA,Least developed countries,941,1990,11060221,506275611.99999994,2.1846244886866093,5048975,NA,11060221,NA
NA,Least developed countries,941,1995,11681777,579681671.9999999,2.0152055109308344,5165247,NA,11681777,NA
NA,Least developed countries,941,2000,10063948,657215864.0000001,1.5313002243658558,3098899,NA,10063948,NA
NA,Least developed countries,941,2005,9833150,744190509.9999996,1.3213216062107542,2362353,NA,9833150,NA
NA,Least developed countries,941,2010,10432671,836614860.0000002,1.2470100041015286,2044868,NA,10432671,NA
NA,Least developed countries,941,2015,13631349,941131317,1.4484003192510913,4493016,NA,13631349,NA
NA,Least developed countries,941,2019,16289023,1033388875.9999999,1.576272338352518,6949378,NA,16289023,NA
NA,"Less developed regions, excluding least developed countries",934,1990,59184036,3675447731.000002,1.610253779446278,11885856,NA,59184036,NA
NA,"Less developed regions, excluding least developed countries",934,1995,56700023,3995049807.0000005,1.4192569739844545,9096779,NA,56700023,NA
NA,"Less developed regions, excluding least developed countries",934,2000,59562504,4297918546.000001,1.3858453426353043,9832292,NA,59562504,NA
NA,"Less developed regions, excluding least developed countries",934,2005,65094808,4588501508.999998,1.4186506830676957,8762848,NA,65094808,NA
NA,"Less developed regions, excluding least developed countries",934,2010,79735778,4885441241.000002,1.6321100606191892,11628391,NA,79735778,NA
NA,"Less developed regions, excluding least developed countries",934,2015,94586630,5182043572,1.8252766246713452,16556670,NA,94586630,NA
NA,"Less developed regions, excluding least developed countries",934,2019,103283821,5409448947.000004,1.909322409952304,16948568,NA,103283821,NA
NA,High-income countries,1503,1990,77802868,1038455405.0000002,7.4921722806190205,2127921,NA,77802868,NA
NA,High-income countries,1503,1995,89346612,1075966474.9999998,8.3038471993284,3213250,NA,89346612,NA
NA,High-income countries,1503,2000,103029727,1112318323,9.262611688542687,3021424,NA,103029727,NA
NA,High-income countries,1503,2005,120543730,1151594879.0000002,10.4675465476779,2717541,NA,120543730,NA
NA,High-income countries,1503,2010,144282576,1197095061,12.052725025819816,2141811,NA,144282576,NA
NA,High-income countries,1503,2015,160366582,1233934740.0000002,12.996358462198737,3299001,NA,160366582,NA
